"","year","geo","gender","edu","age","age_g","stt","mrg","income","exp1","exp2"
"1845",2021,"G1",1,4,58,5,3,2,9518,3940,800
"1846",2021,"G1",1,4,47,4,1,2,9137,6730,1643
"1847",2021,"G1",1,3,36,3,1,2,4663,2120,769
"1848",2021,"G1",2,4,57,5,1,2,7917,2724,1045
"1849",2021,"G1",2,4,64,6,3,3,3059,2400,787
"1850",2021,"G1",1,4,52,5,1,2,12468,5360,5188
"1851",2021,"G1",2,3,44,4,1,1,10948,1600,1664
"1852",2021,"G1",2,1,82,7,4,3,1051,705,147
"1853",2021,"G2",1,4,64,6,2,2,4775,1856,488
"1854",2021,"G2",1,2,53,5,1,4,9908,3765,1115
"1855",2021,"G2",1,2,65,6,2,2,7182,5238,698
"1856",2021,"G2",2,4,39,3,1,1,10543,3552,2350
"1857",2021,"G2",2,3,58,5,3,3,1287,1890,139
"1858",2021,"G2",1,1,85,7,2,3,1138,1400,7
"1859",2021,"G2",1,4,64,6,3,2,7007,4780,1335
"1860",2021,"G2",1,3,66,6,4,2,4156,3248,262
"1861",2021,"G2",1,2,56,5,3,4,1643,1254,88
"1862",2021,"G1",2,2,60,6,2,4,3663,1546,455
"1863",2021,"G1",1,4,55,5,1,2,13493,5704,7198
"1864",2021,"G1",1,4,47,4,1,1,1780,1432,399
"1865",2021,"G1",2,1,69,6,1,2,7274,1684,1133
